,OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES,PART_REMOVAL
7677,JUE,915,787,35,D1CP9BAM,ZJLUTTH9JU,SLCJ97Y,5/2/2018 06:00:00 AM,8/10/2018,19,0,14.0,2.0,168,22566,1
7678,JUE,915,787,35,30UPCB7X,ZDFLSP6P98,S1AD40O,11/29/2015 04:11:25 PM,12/15/2015,17,0,7.0,2.0,20,756,0
7679,JUE,915,787,35,30UPCB7X,ZDFLSP6P98,S4LJ7W8,12/15/2015 10:09:25 AM,9/23/2016,17,0,86.0,6.0,540,9982,1
7680,JUE,915,787,35,30UPCB7X,ZDFLSP6P98,SR6B1TR,4/24/2017 11:30:00 PM,3/23/2018,18,0,147.0,5.0,649,2233,0
7681,JUE,915,787,35,30UPCB7X,ZDFLSP6P98,SE87Z9F,4/13/2017 01:33:27 PM,5/30/2018,18,0,160.0,5.0,782,4025,1
7682,JUE,915,787,44,POD88T3F,S9E5H3H68L,SCSFT8G,9/21/2015 10:03:41 AM,9/21/2015,17,0,68.0,5.0,0,0,1
7683,JUE,915,787,44,POD88T3F,S9E5H3H68L,SSJ33JN,10/13/2015 08:56:09 AM,10/9/2015,17,0,68.0,5.0,0,0,1
7684,JUE,915,787,49,OO0Q5YNL,6K8TDJW001,ST6R26B,8/20/2018 10:30:00 PM,8/20/2018,20,0,68.0,5.0,0,0,1
7685,JUE,915,787,52,0FDJ2BXG,MYE6ZN170T,SWUUX1I,7/20/2017 02:50:00 PM,7/20/2017,19,0,68.0,5.0,0,0,1
7686,JUE,915,787,71,5MU0LG6D,MDALEU793S,STD9M56,2/26/2017 08:01:04 AM,2/26/2017,18,0,68.0,5.0,0,0,1
7687,JUE,915,787,71,5MU0LG6D,11TQ02G4ZN,SB5TEQP,2/28/2017 10:10:28 AM,2/26/2017,18,0,68.0,5.0,0,0,1
7688,JUE,915,787,78,J32IZZZC,1W30AN2GZU,SA3TG4X,12/16/2017 01:45:00 PM,12/16/2017,19,0,68.0,5.0,0,0,1
7689,JUE,915,787,787,39S545SC,B81D5T0W7U,SE0IUGP,6/26/2015 01:10:27 PM,12/2/2015,17,0,45.0,5.0,619,619,1
